type,title,country,date_added,release_year,rating,duration,listed_in,duration_minutes,rating_encoded,genres,Cluster
Movie,Francesco De Carlo: Cose di Questo Mondo,Italy,"April 12, 2019",2019,TV-MA,61 min,Stand-Up Comedy,61,11,['Stand-Up Comedy'],0
TV Show,Huge in France,United States,"April 12, 2019",2019,TV-MA,1 Season,TV Comedies,60,11,['TV Comedies'],1
Movie,The Perfect Date,United States,"April 12, 2019",2019,TV-14,91 min,"Comedies, Romantic Movies",91,9,"['Comedies', 'Romantic Movies']",4
TV Show,New Girl,United States,"April 11, 2019",2018,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies",420,9,"['Romantic TV Shows', 'TV Comedies']",1
TV Show,Persona,South Korea,"April 11, 2019",2019,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",60,11,"['International TV Shows', 'Korean TV Shows', 'TV Dramas']",2
Movie,Liss Pereira: Reteniendo líquidos,Brazil,"April 10, 2019",2019,TV-14,59 min,Stand-Up Comedy,59,9,['Stand-Up Comedy'],0
Movie,The Silence,"Canada, Germany","April 10, 2019",2019,PG-13,91 min,"Horror Movies, Thrillers",91,7,"['Horror Movies', 'Thrillers']",4
TV Show,You vs. Wild,United States,"April 10, 2019",2019,TV-PG,1 Season,"Kids' TV, Reality TV, Science & Nature TV",60,12,"[""Kids' TV"", 'Reality TV', 'Science & Nature TV']",1
Movie,Sarvam Thaala Mayam (Telugu Version),India,"April 8, 2019",2018,TV-14,131 min,"Dramas, International Movies, Music & Musicals",131,9,"['Dramas', 'International Movies', 'Music & Musicals']",4
Movie,Petta (Telugu Version),,"April 7, 2019",2019,TV-14,170 min,"Action & Adventure, Comedies, Dramas",170,9,"['Action & Adventure', 'Comedies', 'Dramas']",4
TV Show,Time: The Kalief Browder Story,United States,"April 7, 2019",2017,TV-MA,1 Season,Docuseries,60,11,['Docuseries'],1
Movie,Alien Warfare,United States,"April 5, 2019",2019,TV-MA,88 min,"Action & Adventure, Sci-Fi & Fantasy",88,11,"['Action & Adventure', 'Sci-Fi & Fantasy']",4
TV Show,Derek,United Kingdom,"April 5, 2019",2015,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",180,11,"['British TV Shows', 'International TV Shows', 'TV Comedies']",1
TV Show,Imposters,United States,"April 5, 2019",2017,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Comedies",120,11,"['Crime TV Shows', 'International TV Shows', 'TV Comedies']",1
TV Show,Our Planet,"United States, United Kingdom","April 5, 2019",2019,TV-PG,1 Season,"Docuseries, Science & Nature TV",60,12,"['Docuseries', 'Science & Nature TV']",1
Movie,Petta,India,"April 5, 2019",2019,TV-14,170 min,"Action & Adventure, Comedies, Dramas",170,9,"['Action & Adventure', 'Comedies', 'Dramas']",4
TV Show,Quicksand,Sweden,"April 5, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",60,11,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",1
TV Show,Rimba Racer,Malaysia,"April 5, 2019",2017,TV-PG,1 Season,Kids' TV,60,12,"[""Kids' TV""]",1
TV Show,Roman Empire: Reign of Blood,"Canada, United States","April 5, 2019",2019,TV-MA,3 Seasons,Docuseries,180,11,['Docuseries'],1
TV Show,Spirit: Riding Free,United States,"April 5, 2019",2019,TV-Y7,8 Seasons,Kids' TV,480,14,"[""Kids' TV""]",1
TV Show,Tijuana,Mexico,"April 5, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",60,11,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",1
Movie,Unicorn Store,United States,"April 5, 2019",2019,TV-14,92 min,"Comedies, Dramas, Independent Movies",92,9,"['Comedies', 'Dramas', 'Independent Movies']",4
TV Show,Possessed,South Korea,"April 4, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",60,11,"['Crime TV Shows', 'International TV Shows', 'Korean TV Shows']",2
Movie,Ricardo Quevedo: Los amargados somos más,,"April 3, 2019",2019,TV-MA,59 min,Stand-Up Comedy,59,11,['Stand-Up Comedy'],0
Movie,Suzzanna: Buried Alive,Indonesia,"April 3, 2019",2018,TV-MA,126 min,"Horror Movies, International Movies",126,11,"['Horror Movies', 'International Movies']",4
TV Show,Tango,Lebanon,"April 3, 2019",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,9,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
Movie,Ek Ladki Ko Dekha Toh Aisa Laga,India,"April 2, 2019",2019,TV-14,120 min,"Comedies, Dramas, International Movies",120,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Jagat,Malaysia,"April 2, 2019",2015,TV-MA,76 min,"Dramas, International Movies",76,11,"['Dramas', 'International Movies']",4
Movie,Kevin Hart: Irresponsible,United States,"April 2, 2019",2019,TV-MA,60 min,Stand-Up Comedy,60,11,['Stand-Up Comedy'],0
TV Show,Kicko & Super Speedo,,"April 1, 2019",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",60,14,"[""Kids' TV"", 'TV Comedies']",1
Movie,Love O2O,China,"April 1, 2019",2016,TV-14,103 min,"International Movies, Romantic Movies, Sci-Fi & Fantasy",103,9,"['International Movies', 'Romantic Movies', 'Sci-Fi & Fantasy']",4
Movie,Pinky Memsaab,"Pakistan, United Arab Emirates","April 1, 2019",2018,TV-MA,124 min,"Dramas, Independent Movies, International Movies",124,11,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,"That Winter, the Wind Blows",South Korea,"April 1, 2019",2013,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",60,11,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",2
Movie,The Trap,United States,"April 1, 2019",2017,TV-MA,91 min,Comedies,91,11,['Comedies'],4
TV Show,Ultraman,"United States, Japan","April 1, 2019",2019,TV-14,1 Season,"Anime Series, International TV Shows",60,9,"['Anime Series', 'International TV Shows']",1
Movie,Mercy Black,United States,"March 31, 2019",2019,TV-14,88 min,Horror Movies,88,9,['Horror Movies'],4
Movie,The Burial of Kojo,"Ghana, United States","March 31, 2019",2018,TV-14,81 min,"Dramas, Independent Movies, International Movies",81,9,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,Pablo,United Kingdom,"March 30, 2019",2017,TV-Y,1 Season,"British TV Shows, Kids' TV",60,13,"['British TV Shows', ""Kids' TV""]",1
Movie,15 August,India,"March 29, 2019",2019,TV-14,124 min,"Comedies, Dramas, Independent Movies",124,9,"['Comedies', 'Dramas', 'Independent Movies']",4
Movie,Bayonet,"Mexico, Finland","March 29, 2019",2019,TV-MA,102 min,"Dramas, International Movies, Sports Movies",102,11,"['Dramas', 'International Movies', 'Sports Movies']",4
TV Show,Osmosis,France,"March 29, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",60,11,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",1
TV Show,Santa Clarita Diet,United States,"March 29, 2019",2019,TV-MA,3 Seasons,"TV Comedies, TV Horror, TV Thrillers",180,11,"['TV Comedies', 'TV Horror', 'TV Thrillers']",1
Movie,The Highwaymen,United States,"March 29, 2019",2019,R,132 min,Dramas,132,8,['Dramas'],4
Movie,The Legend of Cocaine Island,United States,"March 29, 2019",2019,TV-MA,87 min,Documentaries,87,11,['Documentaries'],3
TV Show,The Terminal,,"March 29, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas",60,9,"['International TV Shows', 'TV Dramas']",1
TV Show,Traitors,United Kingdom,"March 29, 2019",2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas",60,11,"['British TV Shows', 'International TV Shows', 'TV Dramas']",1
TV Show,Versailles,"France, Canada","March 29, 2019",2018,TV-MA,3 Seasons,"International TV Shows, TV Dramas",180,11,"['International TV Shows', 'TV Dramas']",1
TV Show,Ainori Love Wagon: Asian Journey,Japan,"March 28, 2019",2018,TV-MA,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows",120,11,"['International TV Shows', 'Reality TV', 'Romantic TV Shows']",1
Movie,Danur: I Can See Ghosts,Indonesia,"March 27, 2019",2017,TV-MA,75 min,"Horror Movies, International Movies",75,11,"['Horror Movies', 'International Movies']",4
Movie,Verses of Love,Indonesia,"March 27, 2019",2008,TV-PG,126 min,"Dramas, International Movies, Romantic Movies",126,12,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Nate Bargatze: The Tennessee Kid,United States,"March 26, 2019",2019,TV-PG,61 min,Stand-Up Comedy,61,12,['Stand-Up Comedy'],0
Movie,Sei,India,"March 25, 2019",2018,TV-14,126 min,"Action & Adventure, Comedies, Dramas",126,9,"['Action & Adventure', 'Comedies', 'Dramas']",4
TV Show,The Eagle of El-Se'eed,,"March 25, 2019",2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",60,9,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']",1
Movie,Superlopez,Spain,"March 24, 2019",2018,TV-MA,108 min,"Action & Adventure, Comedies, International Movies",108,11,"['Action & Adventure', 'Comedies', 'International Movies']",4
Movie,Oversize Cops,Thailand,"March 23, 2019",2017,TV-MA,100 min,"Action & Adventure, Comedies, International Movies",100,11,"['Action & Adventure', 'Comedies', 'International Movies']",4
TV Show,Charlie's Colorforms City,United States,"March 22, 2019",2019,TV-Y,1 Season,Kids' TV,60,13,"[""Kids' TV""]",1
TV Show,Crime Diaries: The Candidate,Mexico,"March 22, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",60,11,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",1
TV Show,Delhi Crime,India,"March 22, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",60,11,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",1
Movie,Mirage,Spain,"March 22, 2019",2018,TV-MA,129 min,"Dramas, International Movies, Sci-Fi & Fantasy",129,11,"['Dramas', 'International Movies', 'Sci-Fi & Fantasy']",4
Movie,ReMastered: The Miami Showband Massacre,United States,"March 22, 2019",2019,TV-MA,71 min,"Documentaries, Music & Musicals",71,11,"['Documentaries', 'Music & Musicals']",3
TV Show,The 10 Sins,,"March 22, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas",60,9,"['International TV Shows', 'TV Dramas']",1
Movie,The Dirt,United States,"March 22, 2019",2019,TV-MA,108 min,"Comedies, Dramas, Music & Musicals",108,11,"['Comedies', 'Dramas', 'Music & Musicals']",4
TV Show,The OA,United States,"March 22, 2019",2019,TV-MA,2 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",120,11,"['TV Dramas', 'TV Mysteries', 'TV Sci-Fi & Fantasy']",1
Movie,Antoine Griezmann: The Making of a Legend,,"March 21, 2019",2019,TV-PG,60 min,"Documentaries, International Movies, Sports Movies",60,12,"['Documentaries', 'International Movies', 'Sports Movies']",3
TV Show,Bo on the Go!,Canada,"March 21, 2019",2007,TV-Y,1 Season,Kids' TV,60,13,"[""Kids' TV""]",1
TV Show,Stay Tuned!,Japan,"March 21, 2019",2019,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas",60,9,"['International TV Shows', 'TV Comedies', 'TV Dramas']",1
Movie,The Amazing Praybeyt Benjamin,Philippines,"March 21, 2019",2014,TV-14,105 min,"Action & Adventure, Comedies, International Movies",105,9,"['Action & Adventure', 'Comedies', 'International Movies']",4
Movie,The Super Parental Guardians,Philippines,"March 21, 2019",2016,TV-14,115 min,"Action & Adventure, Comedies, International Movies",115,9,"['Action & Adventure', 'Comedies', 'International Movies']",4
Movie,The Third Party,Philippines,"March 21, 2019",2016,TV-MA,118 min,"Comedies, Dramas, International Movies",118,11,"['Comedies', 'Dramas', 'International Movies']",4
Movie,The Unmarried Wife,Philippines,"March 21, 2019",2016,TV-MA,130 min,"Dramas, International Movies, Romantic Movies",130,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Vince and Kath and James,Philippines,"March 21, 2019",2016,TV-PG,115 min,"International Movies, Romantic Movies",115,12,"['International Movies', 'Romantic Movies']",4
Movie,Alexis Viera: A Story of Surviving,Uruguay,"March 20, 2019",2019,TV-MA,69 min,"Documentaries, International Movies, Sports Movies",69,11,"['Documentaries', 'International Movies', 'Sports Movies']",3
TV Show,February 9,,"March 20, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas",60,9,"['International TV Shows', 'TV Dramas']",1
Movie,Imago,India,"March 20, 2019",2018,TV-PG,97 min,"Dramas, Independent Movies, International Movies",97,12,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,My Husband Won't Fit,Japan,"March 20, 2019",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,11,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
Movie,Amy Schumer Growing,United States,"March 19, 2019",2019,TV-MA,61 min,Stand-Up Comedy,61,11,['Stand-Up Comedy'],0
Movie,5 Flights Up,United States,"March 17, 2019",2014,PG-13,92 min,"Comedies, Dramas, Independent Movies",92,7,"['Comedies', 'Dramas', 'Independent Movies']",4
TV Show,Green Door,Taiwan,"March 17, 2019",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",60,11,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",1
Movie,Bombairiya,"United Arab Emirates, United Kingdom, India","March 15, 2019",2018,TV-MA,108 min,"Comedies, Dramas, International Movies",108,11,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Burn Out,"France, Belgium","March 15, 2019",2017,TV-MA,104 min,"Action & Adventure, International Movies",104,11,"['Action & Adventure', 'International Movies']",4
Movie,Edoardo Ferrario: Temi Caldi,Italy,"March 15, 2019",2019,TV-MA,65 min,Stand-Up Comedy,65,11,['Stand-Up Comedy'],0
Movie,Girl,"Netherlands, Belgium","March 15, 2019",2018,R,106 min,"Dramas, International Movies, LGBTQ Movies",106,8,"['Dramas', 'International Movies', 'LGBTQ Movies']",4
TV Show,If I Hadn't Met You,Spain,"March 15, 2019",2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,11,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
Movie,Jeff Dunham: Arguing with Myself,United States,"March 15, 2019",2006,TV-MA,69 min,Stand-Up Comedy,69,11,['Stand-Up Comedy'],0
Movie,Jeff Dunham: Controlled Chaos,United States,"March 15, 2019",2011,TV-MA,97 min,Stand-Up Comedy,97,11,['Stand-Up Comedy'],0
Movie,Jeff Dunham: Minding the Monsters,United States,"March 15, 2019",2012,TV-MA,80 min,Stand-Up Comedy,80,11,['Stand-Up Comedy'],0
Movie,Jeff Dunham's Very Special Christmas Special,United States,"March 15, 2019",2008,TV-MA,85 min,Stand-Up Comedy,85,11,['Stand-Up Comedy'],0
Movie,Late Life: The Chien-Ming Wang Story,"United States, Taiwan","March 15, 2019",2018,TV-14,98 min,"Documentaries, Sports Movies",98,9,"['Documentaries', 'Sports Movies']",3
TV Show,My Pride,,"March 15, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas",60,9,"['International TV Shows', 'TV Dramas']",1
Movie,Paskal,Malaysia,"March 15, 2019",2018,TV-14,115 min,"Action & Adventure, Dramas, International Movies",115,9,"['Action & Adventure', 'Dramas', 'International Movies']",4
TV Show,Robozuna,United Kingdom,"March 15, 2019",2018,TV-Y7,2 Seasons,"British TV Shows, Kids' TV",120,14,"['British TV Shows', ""Kids' TV""]",1
TV Show,The Disappearance of Madeleine McCann,,"March 15, 2019",2019,TV-14,1 Season,"Crime TV Shows, Docuseries",60,9,"['Crime TV Shows', 'Docuseries']",1
TV Show,Turn Up Charlie,United Kingdom,"March 15, 2019",2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",60,11,"['British TV Shows', 'International TV Shows', 'TV Comedies']",1
Movie,A Love Story,Philippines,"March 14, 2019",2007,TV-14,117 min,"Dramas, International Movies, Romantic Movies",117,9,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Barcelona: A Love Untold,Philippines,"March 14, 2019",2016,TV-14,132 min,"Dramas, International Movies, Romantic Movies",132,9,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Everything About Her,Philippines,"March 14, 2019",2016,TV-MA,127 min,"Comedies, Dramas, International Movies",127,11,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Finally Found Someone,Philippines,"March 14, 2019",2017,TV-14,125 min,"International Movies, Romantic Movies",125,9,"['International Movies', 'Romantic Movies']",4
Movie,Seven Sundays,Philippines,"March 14, 2019",2017,TV-MA,128 min,"Comedies, Dramas, International Movies",128,11,"['Comedies', 'Dramas', 'International Movies']",4
TV Show,More to Say,Egypt,"March 13, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries",60,9,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",1
TV Show,The Land of Hypocrisy,Egypt,"March 13, 2019",2018,TV-14,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy",60,9,"['International TV Shows', 'TV Comedies', 'TV Sci-Fi & Fantasy']",1
Movie,Triple Frontier,United States,"March 13, 2019",2019,R,126 min,Action & Adventure,126,8,['Action & Adventure'],4
Movie,Jimmy Carr: The Best of Ultimate Gold Greatest Hits,,"March 12, 2019",2019,TV-MA,58 min,Stand-Up Comedy,58,11,['Stand-Up Comedy'],0
TV Show,Eugenie Nights,Egypt,"March 11, 2019",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,9,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
TV Show,This Evening,Egypt,"March 11, 2019",2017,TV-14,1 Season,"International TV Shows, TV Dramas",60,9,"['International TV Shows', 'TV Dramas']",1
TV Show,Into the Badlands,United States,"March 10, 2019",2018,TV-MA,3 Seasons,TV Action & Adventure,180,11,['TV Action & Adventure'],1
TV Show,Bangkok Love Stories: Hey You!,,"March 8, 2019",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,9,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
TV Show,Disappearance,Egypt,"March 8, 2019",2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",60,11,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",1
Movie,Hajwala 2: Mysterious Mission,United Arab Emirates,"March 8, 2019",2018,TV-14,116 min,"Action & Adventure, Comedies, International Movies",116,9,"['Action & Adventure', 'Comedies', 'International Movies']",4
TV Show,Immortals,Turkey,"March 8, 2019",2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",60,11,"['International TV Shows', 'TV Dramas', 'TV Horror']",1
Movie,Juanita,United States,"March 8, 2019",2019,TV-MA,90 min,"Dramas, Independent Movies, Romantic Movies",90,11,"['Dramas', 'Independent Movies', 'Romantic Movies']",4
Movie,Lady J,France,"March 8, 2019",2019,TV-MA,111 min,"Dramas, Independent Movies, International Movies",111,11,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,The Confrontation,,"March 8, 2019",2018,TV-PG,1 Season,"International TV Shows, TV Dramas",60,12,"['International TV Shows', 'TV Dramas']",1
Movie,Walk. Ride. Rodeo.,United States,"March 8, 2019",2019,TV-PG,100 min,"Children & Family Movies, Dramas",100,12,"['Children & Family Movies', 'Dramas']",4
Movie,Nappily Ever After,United States,"March 7, 2019",2018,TV-MA,99 min,"Comedies, Dramas, Romantic Movies",99,11,"['Comedies', 'Dramas', 'Romantic Movies']",4
Movie,Sisterakas,Philippines,"March 7, 2019",2012,TV-14,105 min,"Comedies, International Movies",105,9,"['Comedies', 'International Movies']",4
Movie,Starting Over Again,Philippines,"March 7, 2019",2014,TV-14,128 min,"Dramas, International Movies, Romantic Movies",128,9,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,That Thing Called Tadhana,Philippines,"March 7, 2019",2015,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",91,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,The Love Affair,Philippines,"March 7, 2019",2015,TV-MA,127 min,"Dramas, International Movies, Romantic Movies",127,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
TV Show,American Crime Story: The People v. O.J. Simpson,United States,"March 6, 2019",2016,TV-MA,1 Season,"Crime TV Shows, TV Dramas",60,11,"['Crime TV Shows', 'TV Dramas']",1
TV Show,Secret City,Australia,"March 6, 2019",2016,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",120,11,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",1
TV Show,A Korean Odyssey,South Korea,"March 5, 2019",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",60,11,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",2
Movie,The Hard Way,United States,"March 5, 2019",2019,TV-MA,94 min,Action & Adventure,94,11,['Action & Adventure'],4
Movie,Everyday I Love You,Philippines,"March 4, 2019",2015,TV-14,124 min,"Dramas, International Movies, Romantic Movies",124,9,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,No Other Woman,Philippines,"March 4, 2019",2011,TV-MA,103 min,"Dramas, International Movies, Romantic Movies",103,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,River's Edge,Japan,"March 2, 2019",2018,TV-MA,118 min,"Dramas, International Movies",118,11,"['Dramas', 'International Movies']",4
Movie,Sarkar,,"March 2, 2019",2018,TV-MA,162 min,"Action & Adventure, Dramas, International Movies",162,11,"['Action & Adventure', 'Dramas', 'International Movies']",4
Movie,Weapon of Choice,"Austria, Iraq, United States","March 2, 2019",2018,TV-MA,89 min,"Documentaries, International Movies",89,11,"['Documentaries', 'International Movies']",3
Movie,"2,215",Thailand,"March 1, 2019",2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies",89,11,"['Documentaries', 'International Movies', 'Sports Movies']",3
Movie,BNK48: Girls Don't Cry,Thailand,"March 1, 2019",2018,TV-14,108 min,"Documentaries, International Movies, Music & Musicals",108,9,"['Documentaries', 'International Movies', 'Music & Musicals']",3
Movie,Budapest,"France, Belgium","March 1, 2019",2018,TV-MA,103 min,"Comedies, International Movies",103,11,"['Comedies', 'International Movies']",4
TV Show,Cricket Fever: Mumbai Indians,India,"March 1, 2019",2019,TV-MA,1 Season,"Docuseries, International TV Shows",60,11,"['Docuseries', 'International TV Shows']",1
TV Show,Larva Island,,"March 1, 2019",2019,TV-Y7,2 Seasons,"Kids' TV, Korean TV Shows, TV Comedies",120,14,"[""Kids' TV"", 'Korean TV Shows', 'TV Comedies']",2
TV Show,Losers,,"March 1, 2019",2019,TV-MA,1 Season,Docuseries,60,11,['Docuseries'],1
TV Show,Northern Rescue,Canada,"March 1, 2019",2019,TV-14,1 Season,TV Dramas,60,9,['TV Dramas'],1
Movie,Pants on Fire,Canada,"March 1, 2019",2014,TV-G,87 min,"Children & Family Movies, Comedies",87,10,"['Children & Family Movies', 'Comedies']",4
Movie,Paranormal Investigation,"United States, France","March 1, 2019",2018,TV-14,93 min,"Horror Movies, International Movies, Thrillers",93,9,"['Horror Movies', 'International Movies', 'Thrillers']",4
Movie,Radio Rebel,United States,"March 1, 2019",2012,TV-G,90 min,"Children & Family Movies, Comedies",90,10,"['Children & Family Movies', 'Comedies']",4
Movie,Sarvam Thaala Mayam (Tamil Version),,"March 1, 2019",2018,TV-14,131 min,"Dramas, International Movies, Music & Musicals",131,9,"['Dramas', 'International Movies', 'Music & Musicals']",4
Movie,The Boy Who Harnessed the Wind,"United Kingdom, Malawi","March 1, 2019",2019,TV-PG,114 min,"Children & Family Movies, Dramas, Independent Movies",114,12,"['Children & Family Movies', 'Dramas', 'Independent Movies']",4
TV Show,The Disastrous Life of Saiki K.,Japan,"March 1, 2019",2018,TV-14,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",180,9,"['Anime Series', 'International TV Shows', 'Teen TV Shows']",1
Movie,The Last Runway,"Paraguay, Argentina","March 1, 2019",2018,TV-MA,107 min,"Action & Adventure, International Movies",107,11,"['Action & Adventure', 'International Movies']",4
Movie,The Spiderwick Chronicles,United States,"March 1, 2019",2008,PG,97 min,Children & Family Movies,97,6,['Children & Family Movies'],4
Movie,Your Son,"Spain, France","March 1, 2019",2018,TV-MA,103 min,"Dramas, International Movies, Thrillers",103,11,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,Quién te cantará,"Spain, France","February 28, 2019",2018,TV-MA,125 min,"Dramas, Independent Movies, International Movies",125,11,"['Dramas', 'Independent Movies', 'International Movies']",4
Movie,A Second Chance,Philippines,"February 27, 2019",2015,TV-MA,130 min,"Dramas, International Movies, Romantic Movies",130,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Beauty and the Bestie,Philippines,"February 27, 2019",2015,TV-14,119 min,"Action & Adventure, Comedies, International Movies",119,9,"['Action & Adventure', 'Comedies', 'International Movies']",4
Movie,Bride For Rent,Philippines,"February 27, 2019",2014,TV-PG,110 min,"Comedies, International Movies, Romantic Movies",110,12,"['Comedies', 'International Movies', 'Romantic Movies']",4
Movie,Can't Help Falling in Love,Philippines,"February 27, 2019",2017,TV-14,120 min,"Comedies, Dramas, International Movies",120,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Evening Shadows,India,"February 27, 2019",2018,TV-PG,102 min,"Dramas, Independent Movies, International Movies",102,12,"['Dramas', 'Independent Movies', 'International Movies']",4
Movie,Four Sisters and a Wedding,Philippines,"February 27, 2019",2013,TV-14,125 min,"Comedies, Dramas, International Movies",125,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,It Takes a Man and a Woman,Philippines,"February 27, 2019",2013,TV-PG,127 min,"Comedies, International Movies, Romantic Movies",127,12,"['Comedies', 'International Movies', 'Romantic Movies']",4
Movie,My Ex & Whys,Philippines,"February 27, 2019",2017,TV-14,121 min,"Comedies, Dramas, International Movies",121,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,She's Dating the Gangster,Philippines,"February 27, 2019",2014,TV-14,113 min,"Dramas, International Movies, Romantic Movies",113,9,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,The Breakup Playlist,Philippines,"February 27, 2019",2015,TV-MA,118 min,"Dramas, International Movies, Music & Musicals",118,11,"['Dramas', 'International Movies', 'Music & Musicals']",4
Movie,The Mistress,Philippines,"February 27, 2019",2012,TV-MA,132 min,"Dramas, International Movies, Romantic Movies",132,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
TV Show,Unsolved,United States,"February 27, 2019",2018,TV-MA,1 Season,"Crime TV Shows, TV Dramas",60,11,"['Crime TV Shows', 'TV Dramas']",1
Movie,Zach Galifianakis: Live at the Purple Onion,United States,"February 26, 2019",2006,TV-MA,61 min,Stand-Up Comedy,61,11,['Stand-Up Comedy'],0
Movie,Life of An Outcast,India,"February 25, 2019",2018,TV-PG,80 min,"Dramas, Independent Movies, International Movies",80,12,"['Dramas', 'Independent Movies', 'International Movies']",4
Movie,The Photographer Of Mauthausen,Spain,"February 23, 2019",2018,TV-MA,110 min,"Dramas, International Movies",110,11,"['Dramas', 'International Movies']",4
Movie,Bert Kreischer: The Machine,United States,"February 22, 2019",2016,TV-MA,70 min,Stand-Up Comedy,70,11,['Stand-Up Comedy'],0
TV Show,Chef's Table,United States,"February 22, 2019",2019,TV-MA,6 Seasons,"Docuseries, Reality TV",360,11,"['Docuseries', 'Reality TV']",1
Movie,Firebrand,India,"February 22, 2019",2019,TV-MA,117 min,"Dramas, International Movies",117,11,"['Dramas', 'International Movies']",4
